ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,Graduate,SelfEmployed,CreditHistory,LoanApproval,Gender_Female,Gender_Male,Gender_Unknown,Married_No,Married_Unknown,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3,PropertyArea_Rural,PropertyArea_Semiurban,PropertyArea_Urban
45830.0,15080.0,128000.0,360,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
30000.0,0.0,66000.0,360,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
25830.0,23580.0,120000.0,360,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
60000.0,0.0,141000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
54170.0,41960.0,267000.0,360,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
23330.0,15160.0,95000.0,360,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
30360.0,25040.0,158000.0,360,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
40060.0,15260.0,168000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
32000.0,7000.0,70000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
25000.0,18400.0,109000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
18530.0,28400.0,114000.0,360,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
12990.0,10860.0,17000.0,120,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
49500.0,0.0,125000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
35960.0,0.0,100000.0,240,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1
35100.0,0.0,76000.0,360,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
48870.0,0.0,133000.0,360,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
76600.0,0.0,104000.0,360,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
